client_id;fio;gender;birth_date;city;phone;email;segment;registered_at;updated_at
C111052;Лебедева Александра Дмитриевна;Ж;22.04.2002;Новосибирск;89801494436;aleksandra.lebedeva67@gmail.com;mass;2023-08-20 13:25:00;2023-08-20 13:25:00
C107538;Гусев Артём Игоревич;м;1986-06-20;Москва;8 954 665 34 62;artem.gusev62@rambler.ru;mass;2021-12-24 21:35:00;2021-12-24 21:35:00
C110346;Воробьёв Михаил Михайлович;М;26.11.1977;Казань;89409029997;mikhail.vorobev94@gmail.com;mass;2024-01-01 12:07:00;2024-01-01 12:07:00
C105867;Виноградов Евгений Викторович;М;1979-04-21;Москва;+7 (966) 179-41-67;evgeniy.vinogradov53@inbox.ru;mass;2021-12-14 14:12:00;2021-12-14 14:12:00
C105597;Смирнов Павел Николаевич;М;22.03.1982;Уфа;+7 (982) 511-36-35;pavel.smirnov9@yandex.ru;mass;2025-12-15 17:33:00;2025-12-15 17:33:00
C805923;Орлов  Павел Дмитриевич;М;1996-06-07;Санкт-Петербург;+79442749477;pavel.orlov41@inbox.ru;mass;2024-06-21 19:14:00;2024-06-21 19:14:00
C104260;Филиппова Виктория Игоревна;Ж;1991-12-13;Москва;89753338481;viktoriya.filippova28@inbox.ru;Mass;2025-12-23 17:40:00;2026-12-14 19:00:00
C809659;Андреев  Павел Анатольевич;М;1962-05-12;Сириус;+79356444214;pavel.andreev74@rambler.ru;Mass;2023-03-11 09:37:00;2026-11-16 11:00:00
C103160;Жуков Денис Игоревич;М;26.04.1991;Москва;8 992 806 02 09;denis.zhukov7@bk.ru;premium;2021-07-27 17:49:00;2021-07-27 17:49:00
C110679;Мельник Полина Александровна;Ж;1985-02-13;Москва;+79781532497;polina.melnik44@yandex.ru;Mass;2021-12-13 16:11:00;2021-12-13 16:11:00
C109820;Белкина Татьяна Степановна;жен;08.07.1989;Москва;+79394844228;tatyana.belkina60@yandex.ru;mass;2025-10-26 10:41:00;2025-10-26 10:41:00
C104226;Мельник Александра Сергеевна;Ж;1993-05-22;Санкт-Петербург;+7 (991) 841-93-66;aleksandra.melnik67@bk.ru;Mass;2021-10-13 12:26:00;2021-10-13 12:26:00
C108039;Романов Алексей Борисович;м;1964-09-25;Москва;+7 (926) 833-80-01;aleksey.romanov66@mail.ru;mass;2025-11-11 12:44:00;2025-11-11 12:44:00
C111459;Иванов Владимир Михайлович;М;1975-05-22;Ростов-на-Дону;8 977 112 11 58;vladimir.ivanov27@mail.ru;mass;2022-01-22 16:53:00;2026-08-16 09:00:00
C105783;Соловьёв Тимофей Михайлович;муж;1999-03-07;Москва;+79646762055;timofey.solovev64@inbox.ru;Mass;2021-03-22 20:08:00;2021-03-22 20:08:00
C102349;Яковлев Никита Степанович;М;1962-02-18;Екатеринбург;8 981 920 36 72;nikita.yakovlev63@yandex.ru;premium;2023-12-24 21:41:00;2026-09-27 20:00:00
C100001;Павлова Милана Ивановна;Ж;16.04.1968;Сочи;+79188089476;milana.pavlova92@inbox.ru;private;2025-04-19 10:19:00;2025-04-19 10:19:00
C104773;Новиков Сергей Игоревич;М;1982-08-27;Москва;+79267987106;sergey.novikov4@bk.ru;MASS;2025-05-11 13:57:00;2025-05-11 13:57:00
C101944;Королёва Анна Игоревна;Ж;1973-12-10;Москва;+79445571680;anna.koroleva91@bk.ru;premium;2023-05-22 20:39:00;2023-05-22 20:39:00
C107461;Новиков Дмитрий Александрович;муж;2000-06-14;Москва;+7 (921) 010-53-14;dmitriy.novikov60@rambler.ru;premium;2021-02-17 15:12:00;2026-07-12 21:00:00
C107918;Баранов Игорь Павлович;М;1969-07-06;Краснодар;8 958 539 41 85;igor.baranov6@rambler.ru;mass;2025-07-19 11:42:00;2025-07-19 11:42:00
C107740;Романова Маргарита Павловна;Ж;1989-02-02;Москва;89932482598;margarita.romanova19@rambler.ru;mass;2024-03-20 14:12:00;2024-03-20 14:12:00
C110545;Захаров Егор Анатольевич;M;1983-04-21;Воронеж;89501905622;egor.zakharov50@rambler.ru;mass;2024-12-17 21:46:00;2026-07-15 20:00:00
C111474;Белова Юлия Николаевна;Ж;22.01.2001;Москва;8 928 967 47 47;yuliya.belova55@mail.ru;premium;2021-08-04 11:13:00;2021-08-04 11:13:00
C105377;Фёдоров Матвей Николаевич;М;1969-04-07;Нижний Новгород;+79565466858;matvey.fedorov11@rambler.ru;mass;2023-07-06 20:13:00;2023-07-06 20:13:00
C106937;Мельник Дарья Юрьевна;Ж;15.07.1993;Санкт-Петербург;8 917 744 32 85;darya.melnik13@gmail.com;mass;2023-07-21 09:25:00;2026-10-20 18:00:00
C103409;Кузнецов Иван Александрович;М;1998-02-12;Самара;+7 (980) 735-54-12;ivan.kuznetsov83@bk.ru;premium;2021-11-05 16:24:00;2021-11-05 16:24:00
C100158;Волкова Арина Борисовна;жен;1999-10-26;Уфа;89710821517;arina.volkova91@yandex.ru;mass;2022-07-22 21:34:00;2026-12-17 21:00:00
C106210;Александрова Алиса Романовна;Ж;1989-06-26;Москва;89642583232;alisa.aleksandrova37@mail.ru;Mass;2022-07-14 21:41:00;2026-09-06 18:00:00
C103061;Давыдова Валерия Степановна;Ж;11.07.1991;Москва;+79957393331;valeriya.davydova36@yandex.ru;premium;2024-12-19 09:05:00;2026-06-02 12:00:00
C108165;Соколова Ирина Григорьевна;Ж;23.10.1983;Красноярск;89164053504;irina.sokolova70@gmail.com;mass;2021-03-21 10:22:00;2021-03-21 10:22:00
C101687;Козлова Елизавета Николаевна;Ж;2007-06-22;Санкт-Петербург;89117528958;elizaveta.kozlova37@yandex.ru;premium;2024-01-24 19:54:00;2026-08-02 13:00:00
C104663;Гусев Максим Сергеевич;М;1984-09-09;Москва;+7 (916) 025-26-07;maksim.gusev38@bk.ru;mass;2025-08-27 10:05:00;2025-08-27 10:05:00
C107770;Антонов Денис Петрович;М;08.10.1969;Сочи;8 936 105 92 87;denis.antonov61@inbox.ru;mass;2025-10-03 09:27:00;2025-10-03 09:27:00
C105283;Комаров Дмитрий Викторович;м;1986-01-26;Ростов-на-Дону;89122855316;dmitriy.komarov67@bk.ru;Premium;2021-12-21 15:17:00;2026-09-01 10:00:00
C108912;Поляков Тимофей Романович;М;1981-02-25;Барнаул;+7 (980) 595-34-68;timofey.polyakov7@mail.ru;mass;2023-12-22 15:12:00;2023-12-22 15:12:00
C111966;Николаева Мария Юрьевна;ж;1966-11-18;Красноярск;8 964 068 93 43;mariya.nikolaeva98@rambler.ru;mass;2023-09-26 13:04:00;2026-03-24 15:00:00
C107821;Ткаченко Юлия Андреевна;Ж;25.10.1977;Красноярск;+79355139648;yuliya.tkachenko45@gmail.com;mass;2021-09-07 20:40:00;2021-09-07 20:40:00
C104091;Комаров Тимофей Михайлович;М;1970-11-22;Воронеж;+7 (958) 230-24-53;timofey.komarov53@mail.ru;mass;2022-02-11 08:32:00;2026-05-27 17:00:00
C110257;Сорокина Елизавета Павловна;Ж;2001-03-13;Санкт-Петербург;8 941 327 09 89;elizaveta.sorokina42@rambler.ru;mass;2022-01-04 16:33:00;2022-01-04 16:33:00
C100366;Никитина Валерия Владимировна;ж;13.11.2008;Москва;8 967 269 22 23;valeriya.nikitina94@bk.ru;mass;2025-11-19 10:31:00;2025-11-19 10:31:00
C104060;Фёдорова Софья Сергеевна;Ж;23.05.1980;Новосибирск;8 956 012 17 39;sofya.fedorova68@inbox.ru;premium;2022-06-12 18:36:00;2026-06-23 21:00:00
C109591;Степанов Денис Романович;М;1977-12-16;Москва;+7 (922) 952-69-23;denis.stepanov37@yandex.ru;mass;2025-11-04 09:54:00;2025-11-04 09:54:00
C103182;Макарова Анна Романовна;жен;1987-08-22;Казань;+7 (934) 619-72-83;anna.makarova41@mail.ru;mass;2023-06-23 16:26:00;2023-06-23 16:26:00
C102594;Соловьёва Елизавета Павловна;Ж;2008-07-08;Краснодар;8 920 799 43 74;elizaveta.soloveva62@yandex.ru;mass;2023-08-19 19:26:00;2023-08-19 19:26:00
C111504;Александрова Диана Павловна;ж;22.08.1966;Сочи;89318568611;diana.aleksandrova47@gmail.com;mass;2021-02-27 19:08:00;2021-02-27 19:08:00
C110575;Михайлов Андрей Алексеевич;М;1979-09-18;Краснодар;+7 (964) 488-91-52;andrey.mikhaylov67@mail.ru;mass;2025-09-13 09:22:00;2025-09-13 09:22:00
C104502;Зайцев Владимир Олегович;М;2002-12-28;Москва;89309685602;vladimir.zaytsev6@bk.ru;mass;2022-05-27 13:35:00;2022-05-27 13:35:00
C105986;Ткаченко Тимофей Викторович;муж;1965-06-21;Санкт-Петербург;+7 (973) 780-68-36;timofey.tkachenko86@rambler.ru;mass;2021-08-04 18:46:00;2021-08-04 18:46:00
C105521;Кузнецов Никита Александрович;М;1997-10-16;Воронеж;8 934 230 21 55;nikita.kuznetsov49@yandex.ru;mass;2025-03-13 11:25:00;2025-03-13 11:25:00
C110998;Комарова Дарья Игоревна;Ж;01.11.1984;Санкт-Петербург;+7 (932) 874-78-51;darya.komarova2@inbox.ru;premium;2023-04-04 21:01:00;2023-04-04 21:01:00
C106169;Морозова Милана Игоревна;Ж;16.08.2001;Москва;8 975 057 57 58;milana.morozova59@mail.ru;Mass;2025-04-01 13:43:00;2025-04-01 13:43:00
C111528;Тарасова Ксения Александровна;Ж;2008-05-27;Москва;89404032693;kseniya.tarasova90@mail.ru;mass;2021-05-26 21:02:00;2021-05-26 21:02:00
C111675;Смирнова Маргарита Владимировна;Ж;2003-09-17;Самара;8 993 829 95 74;margarita.smirnova39@yandex.ru;Mass;2022-10-06 20:12:00;2022-10-06 20:12:00
C109363;Бондаренко Руслан Юрьевич;М;1977-09-07;Краснодар;8 949 431 88 26;ruslan.bondarenko85@inbox.ru;Premium;2022-12-21 19:41:00;2026-08-17 12:00:00
C804351;Фролов  Александр Николаевич;М;28.10.1991;Москва;+79762690584;aleksandr.frolov38@inbox.ru;Premium;2021-03-04 10:30:00;2026-06-27 18:00:00
C106193;Королёва Диана Дмитриевна;F;07.06.2004;Москва;+7 (948) 436-80-01;diana.koroleva99@yandex.ru;private;2024-06-28 19:54:00;2024-06-28 19:54:00
C111182;Филиппова Татьяна Петровна;Ж;09.06.1993;Москва;89976017815;tatyana.filippova89@inbox.ru;MASS;2023-11-26 08:51:00;2023-11-26 08:51:00
C108138;Яковлев Тимофей Павлович;М;1985-09-05;Новосибирск;+79185771050;timofey.yakovlev9@gmail.com;mass;2023-05-24 17:04:00;2026-11-25 13:00:00
C109743;Сергеев Михаил Владимирович;М;04.03.1965;Казань;8 981 119 29 91;mikhail.sergeev40@inbox.ru;mass;2025-10-07 13:17:00;2025-10-07 13:17:00
C110556;Белов Сергей Александрович;муж;17.10.1973;Москва;8 944 721 09 95;sergey.belov27@bk.ru;mass;2022-11-03 08:56:00;2022-11-03 08:56:00
C109299;Ковалёва Маргарита Андреевна;F;1990-05-24;Барнаул;+7 (938) 141-10-34;;mass;2023-07-24 20:06:00;2023-07-24 20:06:00
C106800;Максимова Софья Андреевна;Ж;07.08.1965;Москва;8 917 383 94 49;sofya.maksimova42@gmail.com;mass;2024-01-14 20:17:00;2024-01-14 20:17:00
C104263;Попов Руслан Павлович;М;1991-06-03;Ростов-на-Дону;8 913 977 21 25;ruslan.popov99@gmail.com;mass;2021-07-03 19:34:00;2021-07-03 19:34:00
C806471;Бондаренко  Дмитрий Сергеевич;М;17.09.1966;Москва;+79805947318;dmitriy.bondarenko14@inbox.ru;mass;2023-10-26 12:27:00;2023-10-26 12:27:00
C108977;Степанова Александра Алексеевна;Ж;13.05.1984;Воронеж;+79521316298;aleksandra.stepanova28@gmail.com;MASS;2024-09-09 08:36:00;2024-09-09 08:36:00
C111489;Мельник Максим Игоревич;M;28.05.1994;Уфа;+7 (996) 439-05-64;maksim.melnik51@bk.ru;Mass;2024-08-10 21:16:00;2026-07-19 14:00:00
C109985;Семёнов Павел Викторович;M;1998-05-01;Санкт-Петербург;89150199137;pavel.semenov24@inbox.ru;Premium;2024-10-03 09:06:00;2024-10-03 09:06:00
C107261;Поляков Артём Борисович;М;1997-05-24;Краснодар;+79270267725;artem.polyakov27@rambler.ru;mass;2024-03-23 13:10:00;2024-03-23 13:10:00
C103597;Гусев Павел Степанович;М;22.05.1972;Москва;+7 (966) 361-13-68;pavel.gusev71@inbox.ru;mass;2023-07-10 19:13:00;2023-07-10 19:13:00
C106842;Яковлев Михаил Петрович;М;2007-09-16;Москва;89309157038;mikhail.yakovlev27@gmail.com;premium;2023-04-24 17:39:00;2023-04-24 17:39:00
C108102;Морозова Полина Григорьевна;Ж;25.08.1974;Санкт-Петербург;+7 (994) 645-32-28;polina.morozova27@rambler.ru;mass;2022-10-03 12:37:00;2022-10-03 12:37:00
C106221;Мельник Максим Юрьевич;М;1982-06-25;Москва;+7 (924) 826-75-89;maksim.melnik15@mail.ru;mass;2022-09-15 09:22:00;2022-09-15 09:22:00
C100382;Козлов Павел Романович;М;2003-12-02;Воронеж;+79367670449;pavel.kozlov82@inbox.ru;mass;2025-03-15 16:14:00;2025-03-15 16:14:00
C110661;Николаев Иван Павлович;М;1981-11-05;Санкт-Петербург;+7 (935) 963-73-19;ivan.nikolaev90@bk.ru;mass;2022-08-28 20:50:00;2022-08-28 20:50:00
C104035;Иванов Михаил Александрович;М;1994-12-22;Волгоград;89741433077;mikhail.ivanov78@rambler.ru;mass;2025-06-05 16:22:00;2025-06-05 16:22:00
C107507;Волкова Маргарита Алексеевна;жен;17.07.2007;Москва;89744648159;margarita.volkova40@rambler.ru;MASS;2024-05-05 19:38:00;2026-10-01 14:00:00
C108744;Попова Ксения Михайловна;Ж;2003-10-07;Нижний Новгород;+7 (915) 584-01-53;kseniya.popova98@rambler.ru;mass;2022-09-15 15:18:00;2022-09-15 15:18:00
C100796;Виноградов Владислав Романович;М;1964-01-16;Калининград;8 924 826 06 14;vladislav.vinogradov49@inbox.ru;mass;2025-08-21 08:16:00;2025-08-21 08:16:00
